date,app,campaign_id,campaign,impressions,clicks,installs,installs_ct,conversions,cost,revenue,af_complete_registration,af_purchase,channel
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,211564.0,940.0,139.0,15.0,200.0,101194.70422745997,318100.0,38.0,23.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,86868.0,214.0,24.0,4.0,44.0,26202.166047479994,68500.0,12.0,8.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,13000.0,,1.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,3.0,,35500.0,,3.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,24411.0,122.0,15.0,3.0,52.0,12310.19733438,343300.0,8.0,29.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,22100.0,,2.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,25.0,,251100.0,1.0,24.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,4.0,,63300.0,,4.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,11161.0,170.0,3.0,2.0,7.0,7600.3256361,32400.0,1.0,3.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,2242950.0,1242.0,613.0,78.0,878.0,580690.26332958,1496800.0,172.0,93.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,56100.0,,5.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,8.0,,121500.0,,8.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,33300.0,,1.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,59100.0,,2.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,85108.0,50.0,19.0,2.0,50.0,22714.026169139997,257000.0,6.0,25.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,94000.0,,6.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,4.0,,98400.0,,4.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,21100.0,,1.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,28000.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,749368.0,1217.0,87.0,5.0,139.0,220634.9407902599,252100.0,31.0,21.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,424623.0,1306.0,97.0,20.0,163.0,193555.17400998005,425100.0,40.0,26.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,21393.0,101.0,13.0,1.0,37.0,10839.069504959998,343800.0,2.0,22.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,84323.0,204.0,28.0,8.0,53.0,27269.232634140004,245300.0,12.0,13.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,30100.0,55.0,5.0,,6.0,11613.554508419998,3200.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,14830.0,27.0,6.0,1.0,10.0,5569.349644559998,,4.0,,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1172241.0,2066.0,260.0,11.0,387.0,362708.2777333199,544900.0,83.0,44.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,28916.0,59.0,4.0,2.0,9.0,9740.62518486,42900.0,1.0,4.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,550215.0,2024.0,232.0,34.0,346.0,262416.23727702006,618800.0,76.0,38.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,2971751.0,1567.0,459.0,102.0,717.0,833552.75623614,1604600.0,158.0,100.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,19.0,,249900.0,,19.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,51177.0,93.0,8.0,,83.0,15614.618109420004,1071600.0,3.0,72.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,176814.0,350.0,39.0,9.0,53.0,62109.54442224001,61800.0,10.0,4.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,28500.0,,5.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,17200.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,51117.0,94.0,11.0,,54.0,15429.13667298,416600.0,7.0,36.0,moloco
